"id","day","wd","minute10","W"
536,4,6,104,534.5
537,4,6,105,552.5
538,4,6,106,584.5
539,4,6,107,583
540,4,6,108,591.5
541,4,6,109,608
542,4,6,110,610.5
543,4,6,111,624
544,4,6,112,641
545,4,6,113,658.5
546,4,6,114,663.5
547,4,6,115,651
548,4,6,116,664.5
549,4,6,117,663.5
550,4,6,118,686
551,4,6,119,652
552,4,6,120,659
553,4,6,121,681
554,4,6,122,625.5
555,4,6,123,622
556,4,6,124,589.5
557,4,6,125,575.5
558,4,6,126,581
559,4,6,127,573
560,4,6,128,568
561,4,6,129,574
562,4,6,130,528.5
563,4,6,131,497
564,4,6,132,501.5
565,4,6,133,498
566,4,6,134,495
567,4,6,135,478
568,4,6,136,486.5
569,4,6,137,481
570,4,6,138,453.5
571,4,6,139,432
572,4,6,140,408
573,4,6,141,380
574,4,6,142,364.5
575,4,6,143,348
576,4,6,144,355.5
577,5,7,1,356
578,5,7,2,339.5
579,5,7,3,326
580,5,7,4,311
581,5,7,5,303
582,5,7,6,296.5
583,5,7,7,289.5
584,5,7,8,273.5
585,5,7,9,257
586,5,7,10,243
587,5,7,11,239
588,5,7,12,234.5
589,5,7,13,232
590,5,7,14,206
591,5,7,15,210
592,5,7,16,215.5
593,5,7,17,221.5
594,5,7,18,219
595,5,7,19,209
596,5,7,20,209
597,5,7,21,204
598,5,7,22,197
599,5,7,23,196.5
600,5,7,24,194.5
601,5,7,25,199
602,5,7,26,185.5
603,5,7,27,185.5
604,5,7,28,190.5
605,5,7,29,191.5
606,5,7,30,183
607,5,7,31,188
608,5,7,32,180
609,5,7,33,181
610,5,7,34,178.5
611,5,7,35,186.5
612,5,7,36,194
613,5,7,37,197.5
614,5,7,38,189
615,5,7,39,189.5
616,5,7,40,195
617,5,7,41,209
618,5,7,42,226
619,5,7,43,244.5
620,5,7,44,261.5
621,5,7,45,266.5
622,5,7,46,276
623,5,7,47,288
624,5,7,48,303
625,5,7,49,304.5
626,5,7,50,319
627,5,7,51,318
628,5,7,52,337.5
629,5,7,53,355.5
630,5,7,54,362
631,5,7,55,356.5
632,5,7,56,386.5
633,5,7,57,363
634,5,7,58,414
635,5,7,59,419.5
636,5,7,60,434
637,5,7,61,415.5
638,5,7,62,401.5
639,5,7,63,402
640,5,7,64,443
641,5,7,65,413
642,5,7,66,453.5
643,5,7,67,450
644,5,7,68,459
645,5,7,69,492
646,5,7,70,508.5
647,5,7,71,509.5
648,5,7,72,492.5
649,5,7,73,500.5
650,5,7,74,498.5
651,5,7,75,475
652,5,7,76,461.5
653,5,7,77,468
654,5,7,78,498.5
655,5,7,79,494.5
656,5,7,80,504
657,5,7,81,543
658,5,7,82,515.5
659,5,7,83,475
660,5,7,84,454.5
661,5,7,85,485
662,5,7,86,496.5
663,5,7,87,478
664,5,7,88,501.5
665,5,7,89,488.5
666,5,7,90,486.5
667,5,7,91,474
668,5,7,92,458.5
669,5,7,93,487
670,5,7,94,451.5
671,5,7,95,450.5
672,5,7,96,466
673,5,7,97,454
674,5,7,98,470
675,5,7,99,472.5
676,5,7,100,510
677,5,7,101,573.5
678,5,7,102,568
679,5,7,103,557
680,5,7,104,534.5
681,5,7,105,552.5
682,5,7,106,584.5
683,5,7,107,583
684,5,7,108,591.5
685,5,7,109,608
686,5,7,110,610.5
687,5,7,111,624
688,5,7,112,641
689,5,7,113,658.5
690,5,7,114,663.5
691,5,7,115,651
692,5,7,116,664.5
693,5,7,117,663.5
694,5,7,118,686
695,5,7,119,652
696,5,7,120,659
697,5,7,121,681
698,5,7,122,625.5
699,5,7,123,622
700,5,7,124,589.5
701,5,7,125,575.5
702,5,7,126,581
703,5,7,127,573
704,5,7,128,568
705,5,7,129,574
706,5,7,130,528.5
707,5,7,131,497
708,5,7,132,501.5
709,5,7,133,498
710,5,7,134,495
711,5,7,135,478
712,5,7,136,486.5
713,5,7,137,481
714,5,7,138,453.5
715,5,7,139,432
716,5,7,140,408
717,5,7,141,380
718,5,7,142,364.5
719,5,7,143,348
720,5,7,144,355.5
721,6,1,1,330.5
722,6,1,2,305.5
723,6,1,3,296.5
724,6,1,4,284
725,6,1,5,270.5
726,6,1,6,257.5
727,6,1,7,244
728,6,1,8,239
729,6,1,9,235
730,6,1,10,231.5
731,6,1,11,234.5
732,6,1,12,224
733,6,1,13,216
734,6,1,14,198
735,6,1,15,192.5
736,6,1,16,193
737,6,1,17,199
738,6,1,18,196.5
739,6,1,19,191.5
740,6,1,20,185
741,6,1,21,179.5
742,6,1,22,183
743,6,1,23,180.5
744,6,1,24,182
745,6,1,25,175.5
746,6,1,26,173.5
747,6,1,27,176
748,6,1,28,179
749,6,1,29,179
750,6,1,30,174.5
751,6,1,31,180
752,6,1,32,175
753,6,1,33,184.5
754,6,1,34,177.5
755,6,1,35,180
756,6,1,36,185
757,6,1,37,197
758,6,1,38,204
759,6,1,39,208
